"phenotype","genotype"
0.718300879471575,0
0.769636506142372,0
0.723428534970145,0
0.732417881281283,0
0.830720993488047,0
0.800065276867691,0
0.758174995008155,0
0.422113498972055,0
0.268958182318645,0
0.762126001183147,0
0.198000940869434,0
0.820386682228931,0
0.299803835997158,0
0.474894247667315,0
0.616731108082921,0
0.839101248687039,0
0.302712365948629,0
0.507474175473975,0
0.395765811884049,0
0.860259556605846,0
0.584896524472921,0
0.373983436900643,0
0.25061305933355,0
0.616460481184152,0
0.690591795457303,0
0.852460639142825,0
0.576585394036834,0
0.526317043475128,0
0.954683773251728,0
0.14133586243672,0
0.355535987709419,0
0.7256739643288,0
0.283978038434947,0
0.951995576294121,0
0.130595916512638,0
0.711152378491172,0
0.285830644480178,0
0.106938574719651,0
0.771752892625233,0
0.603584610539446,0
0.356020500898078,0
0.361918919869277,0
0.8817210364485,0
0.574423035028676,0
0.722975010226013,0
0.820175563559131,0
0.626227980075754,0
0.535149856176368,0
0.114900513791955,0
0.316819914225333,0
0.218704132625822,0
0.778176439165262,0
0.775469390281908,0
0.511439432954595,0
0.685105871916457,0
0.772008770789592,0
0.75398681781665,0
0.136092003964112,0
0.514959318308494,0
0.366951707065805,0
0.554138270209832,0
0.336912398883635,0
0.438559528723521,0
0.383285542903952,0
0.427953278578904,0
0.342689005159766,0
0.590314204040872,0
0.539738746232946,0
0.259854867671794,0
0.572968328526466,0
0.451769484875959,0
0.573014773819174,0
0.806708370029756,0
0.499934988156533,0
0.122411304362904,0
0.648893948438871,0
0.212818803987561,0
0.680752666026072,0
0.113075348985112,0
0.812652664453422,0
0.545336124842139,0
0.61312145858851,0
0.579763290764852,0
0.631146221017421,0
0.364691161962302,0
0.543110801065489,0
0.77431304980766,0
0.166235624206595,0
0.625450037339914,0
0.20819183633895,0
0.841644607271221,0
0.47748497681557,0
0.294690112455737,0
0.3113772048853,0
0.484457320246329,0
0.533045740159509,0
0.356332614659065,0
0.595486640546283,0
0.226247924791156,0
0.828474464231489,0
0.609647448258619,0
0.812163199227475,0
0.285301843795504,0
0.103259720068635,0
0.861535599782014,0
0.525528074310765,0
0.208038941343572,0
0.278020744270804,0
0.354725263171415,0
0.186423281290296,0
0.591249421269005,0
0.705555021952602,0
0.227398659704061,0
0.143903766488491,0
0.146700449841361,0
0.0303776351293534,0
0.425607795869966,0
0.418602561931663,0
0.310530469944225,0
0.517943362034272,0
0.506881736653603,0
0.44105339246885,0
0.39530080303613,0
0.485419164276081,0
0.139050030637917,0
0.510346524692441,0
0.337490580754266,0
0.0955319332102261,0
0.634953493180439,0
0.499483227263596,0
0.86714325612422,0
0.652809694808177,0
0.709592100310008,0
0.340956109693408,0
0.272312515995186,0
